1,1,2,4,strada1
2,2,3,4,strada1
15,2,5,4,strada1
16,5,6,4,strada1
17,6,7,4,strada1
18,7,8,4,strada1
19,8,9,4,strada1
20,9,10,4,strada1
21,6,10,4,strada1
22,10,11,4,strada1
23,11,12,4,strada1
24,11,51,4,strada1
25,12,40,4,strada1
26,40,41,4,strada1
27,41,42,4,strada1
28,42,43,4,strada1
29,43,51,4,strada1
30,40,51,4,strada1
31,43,44,4,strada1
32,44,45,4,strada1
33,45,46,4,strada1
34,46,47,4,strada1
35,47,48,4,strada1
36,48,50,4,strada1
37,48,49,4,strada1
38,51,13,4,strada1
39,13,54,4,strada1
40,54,55,4,strada1
41,55,53,4,strada1
42,53,52,4,strada1
43,52,51,4,strada1
44,55,56,4,strada1






13,850,500
6,500,350
7,425,125
9,575,300
11,525,450
10,550,400
5,325,350
3,100,250
1,100,50
12,475,575
2,100,100
8,450,100
4,675,450
40,750,875
41,900,900
42,1000,875
43,975,825
44,1025,725
45,1250,800
46,1250,500
47,1050,100
48,950,200
49,555,55
50,850,50
51,875,625
52,975,400
53,950,350
54,750,425
55,825,400
56,650,125


------- custom

500,100
400,200
500,300
600,200
900,100
800,200
900,300
1000,200
1300,100
1000,200
1300,300
1400,200
500,500
600,600
600,700
500,800
400,700
400,600
900,500
1000,600
800,600
1300,500
1400,600
1400,700
1300,800
1200,700
1200,600
1300,400
900,400
500,400



1,2
2,3
3,4
3,2
5,6
6,7
7,8
8,5
9,10
10,11
11,12
12,9
13,14
14,15
15,16
16,17
17,18
18,13
19,20
19,21
21,19
22,23
23,24
24,25
25,26
26,27
27,22
30,3
30,13
30,29
29,7
29,19
29,28
28,11
28,22




